date,time,park,land,attraction,wait_time,is_open
2026-06-13,13:08,Disney Adventure World,Toon Studio,Cars Quatre Roues Rallye,30,True
2026-06-13,13:08,Disney Adventure World,Toon Studio,Cars ROAD TRIP,0,False
2026-06-13,13:08,Disney Adventure World,Toon Studio,Crush's Coaster,100,True
2026-06-13,13:08,Disney Adventure World,Toon Studio,Crush's Coaster Single Rider,70,True
2026-06-13,13:08,Disney Adventure World,Toon Studio,Les Tapis Volants - Flying Carpets Over Agrabah®,15,True
2026-06-13,13:08,Disney Adventure World,Toon Studio,Ratatouille : L’Aventure Totalement Toquée de Rémy​,70,True
2026-06-13,13:08,Disney Adventure World,Toon Studio,Ratatouille: The Adventure Single Rider,25,True
2026-06-13,13:08,Disney Adventure World,Toon Studio,RC Racer,60,True
2026-06-13,13:08,Disney Adventure World,Toon Studio,RC Racer Single Rider,35,True
2026-06-13,13:08,Disney Adventure World,Toon Studio,Slinky® Dog Zigzag Spin,0,False
2026-06-13,13:08,Disney Adventure World,Toon Studio,Toy Soldiers Parachute Drop,45,True
2026-06-13,13:08,Disney Adventure World,Toon Studio,Toy Soldiers Parachute Drop Single Rider,30,True
2026-06-13,13:08,Disney Adventure World,World of Frozen,Entry to World of Frozen,0,True
2026-06-13,13:08,Disney Adventure World,World of Frozen,Frozen Ever After,75,True
2026-06-13,13:08,Disney Adventure World,World of Frozen,Raiponce Tangled Spin,5,True
